num_robots,lam_per_hr,policy,avg_flow_time_mean,dist_per_order_mean,robot_utilization_mean,saving_per_insertion_mean,completion_rate_mean,avg_flow_time_std,dist_per_order_std,robot_utilization_std,saving_per_insertion_std,completion_rate_std
3,300,RL,134.0492,29.8863,0.5941,43.9419,0.9963,3.4702,0.2681,0.0112,0.8227,0.0015
3,300,BL4_Nearest,128.382,29.369,0.571,42.9507,0.9963,3.9323,0.3143,0.013,0.9807,0.0016
3,300,BL2_Partial_k3,165.9048,32.8835,0.55,0.0,0.9952,3.7673,0.4938,0.009,0.0,0.0015
3,300,BL1_FullBuffer,187.7334,27.6271,0.4887,0.0,0.9951,2.347,0.177,0.0142,0.0,0.0016
3,400,RL,669.5652,27.753,0.6447,50.6884,0.9704,346.3775,0.1319,0.0027,3.6447,0.0193
3,400,BL4_Nearest,675.6194,27.7572,0.6443,49.6428,0.9697,349.7342,0.1521,0.0033,3.776,0.0189
3,400,BL2_Partial_k3,681.047,27.8182,0.6407,0.0,0.9701,337.2189,0.2293,0.0036,0.0,0.0197
3,400,BL1_FullBuffer,701.1657,27.6576,0.6374,0.0,0.9695,350.1,0.1365,0.0054,0.0,0.0192
3,500,RL,4014.7219,27.692,0.6431,45.0904,0.7806,372.6931,0.1197,0.0027,4.8969,0.0179
3,500,BL4_Nearest,4008.055,27.6722,0.6436,44.3442,0.7811,381.3392,0.1278,0.0026,5.1913,0.0184
3,500,BL2_Partial_k3,4017.9724,27.6647,0.6433,0.0,0.7811,371.3947,0.1479,0.0023,0.0,0.0179
3,500,BL1_FullBuffer,4047.9947,27.668,0.642,0.0,0.7801,379.6312,0.1346,0.0026,0.0,0.0182
3,600,RL,6344.9886,27.6707,0.6433,44.3253,0.6513,318.3843,0.1295,0.0021,5.2633,0.0138
3,600,BL4_Nearest,6341.3099,27.6635,0.6436,44.1329,0.6514,320.0194,0.1326,0.0024,4.9545,0.014
3,600,BL2_Partial_k3,6347.2465,27.6617,0.6431,0.0,0.6513,310.1324,0.1444,0.0024,0.0,0.0135
3,600,BL1_FullBuffer,6370.9167,27.6768,0.6424,0.0,0.6504,318.6489,0.1313,0.0027,0.0,0.0137
3,700,RL,8012.6292,27.6731,0.6437,43.992,0.558,275.7197,0.1271,0.0025,4.6614,0.0098
3,700,BL4_Nearest,8011.628,27.6712,0.6436,44.0616,0.5581,275.9683,0.1275,0.0025,4.5787,0.0099
3,700,BL2_Partial_k3,8015.6899,27.6643,0.6433,0.0,0.558,266.161,0.1455,0.0023,0.0,0.0096
3,700,BL1_FullBuffer,8034.3342,27.6722,0.6425,0.0,0.5574,274.1152,0.1322,0.0027,0.0,0.0097
4,300,RL,125.5909,30.5972,0.4671,39.9412,0.9963,1.7784,0.2865,0.0128,0.4259,0.0016
4,300,BL4_Nearest,114.9204,29.7691,0.4371,37.8857,0.9968,2.2734,0.3458,0.0135,0.4593,0.0014
4,300,BL2_Partial_k3,154.2146,36.5165,0.4443,0.0,0.9958,1.393,0.3354,0.0098,0.0,0.0012
4,300,BL1_FullBuffer,209.5754,27.6683,0.3674,0.0,0.9939,3.1723,0.1787,0.0108,0.0,0.0019
4,400,RL,136.5266,29.7503,0.595,44.7631,0.9962,2.6181,0.2265,0.0108,0.6963,0.0013
4,400,BL4_Nearest,129.1563,29.1124,0.5737,43.3814,0.9964,3.1111,0.2636,0.0111,0.6309,0.0012
4,400,BL2_Partial_k3,158.2934,33.013,0.5534,0.0,0.9957,2.7386,0.4511,0.0082,0.0,0.0013
4,400,BL1_FullBuffer,182.8903,27.6164,0.4904,0.0,0.9953,1.6347,0.1226,0.0124,0.0,0.0009
4,500,RL,214.1046,28.1984,0.6495,50.754,0.993,52.6868,0.2412,0.0031,1.2163,0.0033
4,500,BL4_Nearest,213.7915,28.1528,0.6473,50.0455,0.9927,56.2835,0.2149,0.0038,1.3931,0.0034
4,500,BL2_Partial_k3,239.5054,28.7125,0.628,0.0,0.9922,54.4754,0.4397,0.0072,0.0,0.0033
4,500,BL1_FullBuffer,240.1821,27.6674,0.6125,0.0,0.992,55.9413,0.1167,0.013,0.0,0.0034
4,600,RL,2456.1742,27.6714,0.6439,46.5933,0.8678,379.5984,0.1333,0.0025,4.6339,0.0176
4,600,BL4_Nearest,2460.6288,27.6782,0.6438,45.5782,0.8676,378.6723,0.1295,0.0021,5.3283,0.0178
4,600,BL2_Partial_k3,2482.419,27.7018,0.6433,0.0,0.8667,366.7845,0.1194,0.0028,0.0,0.0168
4,600,BL1_FullBuffer,2495.7399,27.6679,0.6419,0.0,0.8665,372.7024,0.1203,0.0024,0.0,0.0174
4,700,RL,4674.9579,27.6748,0.6437,44.3002,0.7437,329.0237,0.1228,0.0025,4.1634,0.0125
4,700,BL4_Nearest,4674.114,27.6789,0.6438,44.7913,0.7436,329.3983,0.1187,0.0025,4.9928,0.0125
4,700,BL2_Partial_k3,4687.9529,27.6934,0.6436,0.0,0.743,320.4692,0.1043,0.0028,0.0,0.0112
4,700,BL1_FullBuffer,4705.1891,27.6633,0.6423,0.0,0.7429,324.2435,0.1255,0.0026,0.0,0.0124
5,300,RL,122.659,31.1865,0.3749,37.8181,0.9966,1.1376,0.2176,0.0109,0.4328,0.0014
5,300,BL4_Nearest,113.9341,29.8245,0.3497,37.1901,0.9967,1.8969,0.3159,0.0105,0.4638,0.0018
5,300,BL2_Partial_k3,162.5114,37.8566,0.3641,0.0,0.9953,1.9196,0.2924,0.0091,0.0,0.0013
5,300,BL1_FullBuffer,238.5095,27.6537,0.293,0.0,0.9928,3.8988,0.132,0.0078,0.0,0.0021
5,400,RL,128.2449,30.4512,0.4919,40.5228,0.9963,1.4603,0.2397,0.0119,0.4784,0.0011
5,400,BL4_Nearest,120.0791,29.2376,0.464,40.1035,0.9968,1.5026,0.1955,0.0124,0.43,0.0011
5,400,BL2_Partial_k3,150.0864,36.0693,0.4708,0.0,0.9959,0.9984,0.2571,0.0092,0.0,0.0013
5,400,BL1_FullBuffer,200.8034,27.6232,0.3926,0.0,0.9945,2.8985,0.1245,0.0095,0.0,0.0013
5,500,RL,135.7347,29.7478,0.5934,43.9433,0.9958,1.881,0.2025,0.0099,0.6145,0.0015
5,500,BL4_Nearest,130.9892,29.1796,0.5779,43.4916,0.9963,2.3467,0.2043,0.0122,0.491,0.0011
5,500,BL2_Partial_k3,153.9279,33.1009,0.5544,0.0,0.9956,1.9202,0.3969,0.0082,0.0,0.0013
5,500,BL1_FullBuffer,180.2452,27.6915,0.4918,0.0,0.9944,1.6588,0.1083,0.0115,0.0,0.0014
5,600,RL,162.742,28.6045,0.6495,48.902,0.9952,8.7632,0.1931,0.0043,0.9827,0.0013
5,600,BL4_Nearest,160.9249,28.5166,0.6455,48.4312,0.9952,8.5488,0.2112,0.004,1.1418,0.0013
5,600,BL2_Partial_k3,183.0612,29.6063,0.6161,0.0,0.9943,8.9484,0.4304,0.0058,0.0,0.0013
5,600,BL1_FullBuffer,187.0285,27.6683,0.5894,0.0,0.9946,8.3671,0.0983,0.0113,0.0,0.0012
5,700,RL,1356.2476,27.6875,0.6443,46.6498,0.9285,372.2145,0.0982,0.0021,4.5535,0.0158
5,700,BL4_Nearest,1366.402,27.6931,0.6439,46.9106,0.9282,372.0109,0.0995,0.0018,5.0869,0.0155
5,700,BL2_Partial_k3,1378.8823,27.7046,0.6425,0.0,0.9279,373.6234,0.1078,0.0025,0.0,0.0153
5,700,BL1_FullBuffer,1394.3502,27.668,0.6416,0.0,0.9277,374.4188,0.0929,0.0023,0.0,0.0155
6,300,RL,121.9997,31.2698,0.3128,37.4999,0.9967,1.6309,0.3147,0.0093,0.3788,0.0013
6,300,BL4_Nearest,113.7055,29.8168,0.2912,37.1018,0.9967,1.7611,0.2928,0.0088,0.4287,0.0018
6,300,BL2_Partial_k3,177.0272,38.4684,0.307,0.0,0.9953,2.6904,0.2678,0.0083,0.0,0.0017
6,300,BL1_FullBuffer,265.4005,27.6351,0.2439,0.0,0.9916,4.6932,0.131,0.0072,0.0,0.0028
6,400,RL,126.8222,30.6195,0.4118,39.4941,0.9969,1.1697,0.2049,0.0098,0.244,0.0011
6,400,BL4_Nearest,118.6425,29.2175,0.3864,39.4111,0.9971,1.9005,0.2757,0.0125,0.3313,0.0013
6,400,BL2_Partial_k3,155.4485,37.4265,0.4027,0.0,0.9958,1.5958,0.2695,0.0082,0.0,0.0012
6,400,BL1_FullBuffer,223.7067,27.6529,0.327,0.0,0.9935,3.5198,0.1447,0.0083,0.0,0.0014
6,500,RL,130.5142,30.1324,0.5071,41.2325,0.9963,0.87,0.1931,0.0109,0.3214,0.0013
6,500,BL4_Nearest,124.3266,29.1894,0.4859,41.1221,0.9963,1.4372,0.1891,0.0129,0.3771,0.0012
6,500,BL2_Partial_k3,147.7901,35.7691,0.4882,0.0,0.996,1.1717,0.3482,0.0082,0.0,0.0012
6,500,BL1_FullBuffer,196.209,27.659,0.4093,0.0,0.9943,2.3401,0.1207,0.01,0.0,0.0014
6,600,RL,136.2987,29.6897,0.5943,43.8632,0.996,1.4408,0.1198,0.0096,0.4068,0.0008
6,600,BL4_Nearest,131.8644,29.1115,0.5781,43.5114,0.9961,2.2024,0.2247,0.0117,0.4555,0.0009
6,600,BL2_Partial_k3,150.599,33.2294,0.5558,0.0,0.9956,1.7786,0.351,0.0074,0.0,0.0008
6,600,BL1_FullBuffer,179.1266,27.6885,0.4917,0.0,0.9949,1.977,0.0936,0.01,0.0,0.0009
6,700,RL,151.9021,28.9041,0.6467,47.4865,0.9955,3.9171,0.1673,0.0049,0.6629,0.0012
6,700,BL4_Nearest,149.9216,28.7254,0.6427,47.2083,0.9957,3.9583,0.1585,0.0063,0.6164,0.0013
6,700,BL2_Partial_k3,168.219,30.2053,0.6087,0.0,0.9951,4.3853,0.3407,0.0055,0.0,0.0011
6,700,BL1_FullBuffer,175.9813,27.6748,0.574,0.0,0.995,3.3009,0.0935,0.0094,0.0,0.0013
7,300,RL,122.9562,30.9703,0.2666,38.203,0.9962,1.9191,0.3301,0.0075,0.4111,0.0016
7,300,BL4_Nearest,113.7055,29.8168,0.2496,37.1018,0.9967,1.7611,0.2928,0.0075,0.4287,0.0018
7,300,BL2_Partial_k3,192.1462,38.9202,0.2656,0.0,0.9952,2.8341,0.2522,0.0071,0.0,0.0015
7,300,BL1_FullBuffer,291.2512,27.6606,0.2092,0.0,0.9911,5.2031,0.1836,0.0057,0.0,0.0025
7,400,RL,127.6964,30.6272,0.3533,39.5688,0.9965,1.0811,0.2426,0.0088,0.295,0.001
7,400,BL4_Nearest,118.7187,29.2372,0.3316,39.3229,0.997,1.7967,0.2457,0.0108,0.3043,0.0012
7,400,BL2_Partial_k3,165.4766,38.0707,0.3493,0.0,0.9957,1.6787,0.2228,0.0076,0.0,0.0011
7,400,BL1_FullBuffer,245.2599,27.6521,0.2804,0.0,0.9938,3.5563,0.1535,0.0067,0.0,0.0023
7,500,RL,130.7082,30.4663,0.4392,40.3265,0.9962,0.8466,0.1671,0.0104,0.2582,0.001
7,500,BL4_Nearest,123.1802,29.1472,0.4159,40.624,0.9966,1.5185,0.2528,0.0111,0.3013,0.0011
7,500,BL2_Partial_k3,151.0057,37.1241,0.4292,0.0,0.996,1.2094,0.2625,0.0081,0.0,0.0011
7,500,BL1_FullBuffer,215.3679,27.6871,0.3508,0.0,0.9936,2.9878,0.126,0.0085,0.0,0.0016
7,600,RL,133.4376,30.2799,0.5241,41.3961,0.9961,0.9227,0.1863,0.0109,0.2823,0.0008
7,600,BL4_Nearest,127.1886,29.1003,0.4997,41.8634,0.9966,1.4333,0.2122,0.0109,0.247,0.0009
7,600,BL2_Partial_k3,145.6521,35.5472,0.4993,0.0,0.9958,1.1023,0.2975,0.0069,0.0,0.0008
7,600,BL1_FullBuffer,192.9641,27.6609,0.4209,0.0,0.9944,2.2422,0.0853,0.0084,0.0,0.001
